Jul 08, 2019  09:55:22 PM
Residual Gas Analyzer Software 
RGA Software Version, 3.218.004

Pressure vs Time Scan Setup:

Active channels in Scan, 10 
Units, Torr
Sample Period, 10.00, sec
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1060, Volts
CEM Gain, 1.11E+003 
Sensitivity Factor, 8.30E-005 
Filament Current, 1.00, mAmps
Start time, Jul 08, 2019  09:55:22 PM 
Channel,  Mass(amu),     Name,                 Cal Factor,  Noise Floor, CEM Status

1         2.00           H2                    1.00         2            OFF
2         12.00          Carbon                1.00         2            OFF
3         14.00          Nitrogen              1.00         2            OFF
4         16.00          CH4                   1.00         2            OFF
5         18.00          H2O                   1.00         2            OFF
6         28.00          CO                    1.00         2            OFF
7         32.00          O2                    1.00         2            OFF
8         34.00          H2S                   1.00         2            OFF
9         40.00          KH/NaOH               1.00         2            OFF
10        44.00          CO2                   1.00         2            OFF


Time(s)      Channel#1   Channel#2   Channel#3   Channel#4   Channel#5   Channel#6   Channel#7   Channel#8   Channel#9   Channel#10  

790.000,   1.5248E-007,   6.3036E-009,   8.9931E-008,   1.7417E-007,   4.1761E-006,   1.2150E-006,   5.1747E-007,   3.1398E-009,   4.1135E-008,   6.4028E-008,  
800.000,   1.5129E-007,   6.1217E-009,   8.8746E-008,   1.7606E-007,   4.1927E-006,   1.2049E-006,   5.1402E-007,   3.0265E-009,   4.1429E-008,   6.4202E-008,  
810.000,   1.5026E-007,   6.1313E-009,   8.9259E-008,   1.7641E-007,   4.1640E-006,   1.2133E-006,   5.2030E-007,   2.9747E-009,   4.0746E-008,   6.3751E-008,  
820.000,   1.4987E-007,   5.8880E-009,   8.9154E-008,   1.7564E-007,   4.1686E-006,   1.2101E-006,   5.1396E-007,   2.8699E-009,   4.1778E-008,   6.3669E-008,  
830.000,   1.5014E-007,   6.0639E-009,   8.9086E-008,   1.7503E-007,   4.1683E-006,   1.2248E-006,   5.1582E-007,   3.0434E-009,   4.1551E-008,   6.3651E-008,  
840.000,   1.4951E-007,   6.2542E-009,   8.9817E-008,   1.7601E-007,   4.2073E-006,   1.2248E-006,   5.1919E-007,   3.1542E-009,   4.1596E-008,   6.3893E-008,  
850.016,   1.5150E-007,   5.9699E-009,   8.9564E-008,   1.7608E-007,   4.1838E-006,   1.2234E-006,   5.1947E-007,   3.0916E-009,   4.1301E-008,   6.4280E-008,  
860.000,   1.5106E-007,   5.9675E-009,   8.9145E-008,   1.7466E-007,   4.1934E-006,   1.2166E-006,   5.2038E-007,   2.9361E-009,   4.1534E-008,   6.3882E-008,  
870.000,   1.5120E-007,   6.2301E-009,   8.9288E-008,   1.7758E-007,   4.2021E-006,   1.2246E-006,   5.1524E-007,   3.4651E-009,   4.2231E-008,   6.3973E-008,  
880.000,   1.5195E-007,   6.2289E-009,   8.8708E-008,   1.7515E-007,   4.1896E-006,   1.2333E-006,   5.2111E-007,   3.1036E-009,   4.1548E-008,   6.3286E-008,  
890.000,   1.4848E-007,   6.0639E-009,   8.9222E-008,   1.7615E-007,   4.1922E-006,   1.2272E-006,   5.1950E-007,   3.1566E-009,   4.1381E-008,   6.3823E-008,  
900.000,   1.4936E-007,   6.2747E-009,   8.9382E-008,   1.7514E-007,   4.1282E-006,   1.2244E-006,   5.1823E-007,   3.0988E-009,   4.1271E-008,   6.2684E-008,  
910.000,   1.5023E-007,   6.0566E-009,   8.9594E-008,   1.7410E-007,   4.1682E-006,   1.2277E-006,   5.2006E-007,   2.9494E-009,   4.1524E-008,   6.3559E-008,  
920.000,   1.5021E-007,   6.1831E-009,   8.9687E-008,   1.7376E-007,   4.2040E-006,   1.2495E-006,   5.2532E-007,   3.5096E-009,   4.2288E-008,   6.3461E-008,  
930.000,   1.5196E-007,   6.2518E-009,   8.9282E-008,   1.7385E-007,   4.1597E-006,   1.2363E-006,   5.1884E-007,   3.1229E-009,   4.1313E-008,   6.3689E-008,  
940.000,   1.5143E-007,   6.1253E-009,   8.9360E-008,   1.7448E-007,   4.1443E-006,   1.2311E-006,   5.1700E-007,   3.0349E-009,   4.1971E-008,   6.2628E-008,  
950.000,   1.4774E-007,   5.9301E-009,   9.0401E-008,   1.7486E-007,   4.1222E-006,   1.2255E-006,   5.1584E-007,   3.0373E-009,   4.1578E-008,   6.3700E-008,  
960.000,   1.4752E-007,   6.1602E-009,   8.8929E-008,   1.7435E-007,   4.1161E-006,   1.2259E-006,   5.2243E-007,   2.9747E-009,   4.1120E-008,   6.3976E-008,  
970.000,   1.4897E-007,   6.3060E-009,   9.0657E-008,   1.7538E-007,   4.1269E-006,   1.2405E-006,   5.2048E-007,   3.3494E-009,   4.2163E-008,   6.3767E-008,  
980.000,   1.4805E-007,   6.1916E-009,   9.0752E-008,   1.7438E-007,   4.1486E-006,   1.2286E-006,   5.2080E-007,   3.0855E-009,   4.2045E-008,   6.3294E-008,  
990.000,   1.4870E-007,   6.0855E-009,   9.0859E-008,   1.7527E-007,   4.1449E-006,   1.2521E-006,   5.2102E-007,   3.0410E-009,   4.1988E-008,   6.3381E-008,  
1000.000,   1.4872E-007,   6.2795E-009,   9.1057E-008,   1.7631E-007,   4.1439E-006,   1.2527E-006,   5.2349E-007,   3.1952E-009,   4.1873E-008,   6.3173E-008,  
1010.000,   1.4883E-007,   6.0843E-009,   9.0778E-008,   1.7541E-007,   4.1269E-006,   1.2507E-006,   5.2435E-007,   3.0831E-009,   4.1425E-008,   6.3764E-008,  
1020.000,   1.4757E-007,   6.0892E-009,   9.0935E-008,   1.8044E-007,   4.0731E-006,   1.2220E-006,   5.1286E-007,   3.2120E-009,   4.1305E-008,   6.2253E-008,  
1030.000,   1.4711E-007,   6.3988E-009,   9.0084E-008,   1.7327E-007,   4.1244E-006,   1.2456E-006,   5.2209E-007,   3.2783E-009,   4.2002E-008,   6.3225E-008,  
1040.000,   1.4748E-007,   6.0831E-009,   9.2094E-008,   1.7473E-007,   4.1566E-006,   1.2503E-006,   5.2399E-007,   3.1241E-009,   4.1324E-008,   6.3863E-008,  
1050.000,   1.4625E-007,   5.9024E-009,   9.1233E-008,   1.7559E-007,   4.1666E-006,   1.2505E-006,   5.2462E-007,   2.9783E-009,   4.2531E-008,   6.2333E-008,  
1060.000,   1.4704E-007,   6.1843E-009,   9.0936E-008,   1.7400E-007,   4.0661E-006,   1.2373E-006,   5.2187E-007,   3.1337E-009,   4.2045E-008,   6.3166E-008,  
1070.000,   1.4467E-007,   6.1482E-009,   9.1794E-008,   1.7566E-007,   4.1231E-006,   1.2440E-006,   5.2271E-007,   3.0446E-009,   4.2563E-008,   6.3378E-008,  
1080.000,   1.4617E-007,   6.2072E-009,   9.0931E-008,   1.6944E-007,   4.0938E-006,   1.2537E-006,   5.1787E-007,   3.1000E-009,   4.1614E-008,   6.2989E-008,  
1090.000,   1.4529E-007,   6.0349E-009,   9.0817E-008,   1.7298E-007,   4.0854E-006,   1.2477E-006,   5.2144E-007,   3.1277E-009,   4.1640E-008,   6.3323E-008,  
1100.000,   1.4659E-007,   6.0759E-009,   9.0966E-008,   1.7502E-007,   4.0583E-006,   1.2426E-006,   5.1870E-007,   3.1120E-009,   4.1907E-008,   6.2999E-008,  
1110.000,   1.4496E-007,   5.7193E-009,   9.0807E-008,   1.7430E-007,   4.0760E-006,   1.2413E-006,   5.1694E-007,   2.9145E-009,   4.1673E-008,   6.2437E-008,  
1120.000,   1.4586E-007,   6.2566E-009,   9.0655E-008,   1.7440E-007,   4.0792E-006,   1.2457E-006,   5.2010E-007,   3.2446E-009,   4.2010E-008,   6.3249E-008,  
1130.000,   1.4390E-007,   6.2988E-009,   9.1471E-008,   1.7412E-007,   4.0689E-006,   1.2439E-006,   5.2130E-007,   3.1145E-009,   4.2133E-008,   6.2082E-008,  
1140.000,   1.4605E-007,   5.9458E-009,   8.9324E-008,   1.7196E-007,   3.9755E-006,   1.2173E-006,   5.1247E-007,   3.1253E-009,   4.1300E-008,   6.1588E-008,  
1150.016,   1.4421E-007,   6.0711E-009,   8.9353E-008,   1.7154E-007,   4.0130E-006,   1.2178E-006,   5.1857E-007,   3.1807E-009,   4.1304E-008,   6.2184E-008,  
